,1,2,3,4,5,6,7,8,9,10,11,12
A,-0.001,-0.001,0.211,0.233,0.478,0.487,0.98,0.978,1.505,1.51,2.428,2.457
B,-0.001,0,0.236,0.23,0.489,0.488,0.982,0.978,1.518,1.52,2.466,2.48
C,0,0,0.233,0.236,0.488,0.49,0.978,0.98,1.513,1.515,2.48,2.461
D,0,0,0.237,0.239,0.488,0.487,0.975,0.973,1.512,1.516,2.492,2.495
E,0,0.001,0.238,0.237,0.493,0.49,0.984,0.984,1.516,1.515,2.461,2.46
F,0.001,0,0.237,0.238,0.493,0.496,0.985,0.984,1.516,1.521,2.498,2.497
G,0.001,-0.001,0.24,0.236,0.494,0.494,0.988,0.989,1.526,1.535,2.536,2.536
H,0.001,-0.001,0.239,0.24,0.495,0.495,0.99,0.989,1.522,1.526,2.525,2.506
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Sample Wavelength (nm),450,,,,,,,,,,,
Reference Wavelength (nm),-1,,,,,,,,,,,
